cohort_date,cohort_size,retained_d1,retained_d7,retained_d14,retained_d30,d1_retention,d7_retention,d14_retention,d30_retention,avg_level_gain_7d,avg_active_days_7d,avg_observations_7d
2007-04-24,124,25,8,6,6,0.20161290322580644,0.06451612903225806,0.04838709677419355,0.04838709677419355,2.2338709677419355,1.6693548387096775,14.75
2007-04-25,126,35,16,12,7,0.2777777777777778,0.12698412698412698,0.09523809523809523,0.05555555555555555,4.119047619047619,2.0714285714285716,27.41269841269841
2007-04-26,110,30,13,12,0,0.2727272727272727,0.11818181818181818,0.10909090909090909,0.0,3.981818181818182,2.1545454545454548,44.54545454545455
2007-04-27,158,47,9,12,0,0.2974683544303797,0.056962025316455694,0.0759493670886076,0.0,3.0632911392405062,1.7911392405063291,16.81645569620253
2007-04-28,166,33,12,13,0,0.19879518072289157,0.07228915662650602,0.0783132530120482,0.0,2.5,1.4939759036144578,11.80722891566265
2007-04-29,160,25,14,10,0,0.15625,0.0875,0.0625,0.0,2.39375,1.55625,11.7125
2007-04-30,195,29,13,8,0,0.14871794871794872,0.06666666666666667,0.041025641025641026,0.0,2.2256410256410257,1.6,22.646153846153847
2007-05-01,162,31,11,6,7,0.19135802469135801,0.06790123456790123,0.037037037037037035,0.043209876543209874,2.6728395061728394,1.6604938271604939,17.685185185185187
2007-05-02,185,27,15,11,7,0.14594594594594595,0.08108108108108109,0.05945945945945946,0.03783783783783784,2.189189189189189,1.5837837837837838,14.85945945945946
2007-05-03,108,28,7,7,4,0.25925925925925924,0.06481481481481481,0.06481481481481481,0.037037037037037035,3.8703703703703702,1.962962962962963,26.61111111111111
2007-05-04,88,26,17,9,4,0.29545454545454547,0.19318181818181818,0.10227272727272728,0.045454545454545456,4.340909090909091,2.215909090909091,24.443181818181817
2007-05-05,127,35,16,18,9,0.2755905511811024,0.12598425196850394,0.14173228346456693,0.07086614173228346,3.4015748031496065,1.795275590551181,17.118110236220474
2007-05-06,143,33,15,13,7,0.23076923076923078,0.1048951048951049,0.09090909090909091,0.04895104895104895,3.6503496503496504,1.8531468531468531,20.447552447552447
2007-05-07,149,32,9,13,8,0.21476510067114093,0.06040268456375839,0.087248322147651,0.053691275167785234,2.6912751677852347,1.7651006711409396,22.308724832214764
2007-05-08,151,46,18,14,9,0.304635761589404,0.11920529801324503,0.09271523178807947,0.059602649006622516,4.47682119205298,2.119205298013245,37.794701986754966
2007-05-09,112,21,6,5,5,0.1875,0.05357142857142857,0.044642857142857144,0.044642857142857144,2.705357142857143,1.7589285714285714,17.089285714285715
2007-05-10,99,26,6,5,5,0.26262626262626265,0.06060606060606061,0.050505050505050504,0.050505050505050504,2.7474747474747474,1.7676767676767677,22.828282828282827
2007-05-11,132,32,7,6,4,0.24242424242424243,0.05303030303030303,0.045454545454545456,0.030303030303030304,2.5984848484848486,1.7651515151515151,13.68939393939394
2007-05-12,183,30,15,0,9,0.16393442622950818,0.08196721311475409,0.0,0.04918032786885246,2.4098360655737703,1.540983606557377,17.78688524590164
2007-05-13,138,30,13,0,1,0.21739130434782608,0.09420289855072464,0.0,0.007246376811594203,2.818840579710145,1.8043478260869565,19.58695652173913
2007-05-14,131,36,9,0,7,0.2748091603053435,0.06870229007633588,0.0,0.05343511450381679,3.6412213740458017,1.9618320610687023,25.541984732824428
2007-05-15,151,27,4,0,5,0.17880794701986755,0.026490066225165563,0.0,0.033112582781456956,1.7152317880794703,1.5364238410596027,9.066225165562914
2007-05-16,114,20,9,0,4,0.17543859649122806,0.07894736842105263,0.0,0.03508771929824561,3.219298245614035,1.7456140350877194,30.140350877192983
2007-05-17,74,16,1,3,1,0.21621621621621623,0.013513513513513514,0.04054054054054054,0.013513513513513514,2.4594594594594597,1.864864864864865,17.594594594594593
2007-05-18,135,29,9,10,5,0.21481481481481482,0.06666666666666667,0.07407407407407407,0.037037037037037035,3.2222222222222223,1.711111111111111,18.444444444444443
2007-05-19,206,44,0,20,13,0.21359223300970873,0.0,0.0970873786407767,0.06310679611650485,3.179611650485437,1.766990291262136,21.388349514563107
2007-05-20,135,26,0,14,7,0.1925925925925926,0.0,0.1037037037037037,0.05185185185185185,2.4296296296296296,1.5851851851851853,14.725925925925926
2007-05-21,118,35,0,7,5,0.2966101694915254,0.0,0.059322033898305086,0.0423728813559322,2.5338983050847457,1.5169491525423728,11.745762711864407
2007-05-22,122,35,0,12,7,0.28688524590163933,0.0,0.09836065573770492,0.05737704918032787,2.4836065573770494,1.5,16.34426229508197
2007-05-23,125,28,0,10,3,0.224,0.0,0.08,0.024,2.296,1.336,7.92
2007-05-24,60,16,11,13,7,0.26666666666666666,0.18333333333333332,0.21666666666666667,0.11666666666666667,2.783333333333333,1.2666666666666666,10.483333333333333
2007-05-25,32,0,6,5,2,0.0,0.1875,0.15625,0.0625,2.46875,1.15625,9.875
2007-05-31,178,62,36,34,25,0.34831460674157305,0.20224719101123595,0.19101123595505617,0.1404494382022472,3.657303370786517,2.662921348314607,55.46629213483146
2007-06-01,133,43,11,6,8,0.3233082706766917,0.08270676691729323,0.045112781954887216,0.06015037593984962,2.9323308270676693,2.030075187969925,18.62406015037594
2007-06-02,140,31,17,9,9,0.22142857142857142,0.12142857142857143,0.06428571428571428,0.06428571428571428,2.892857142857143,1.6785714285714286,19.85
2007-06-03,127,29,17,15,6,0.2283464566929134,0.13385826771653545,0.11811023622047244,0.047244094488188976,2.968503937007874,1.8267716535433072,22.393700787401574
2007-06-04,195,47,17,12,10,0.24102564102564103,0.08717948717948718,0.06153846153846154,0.05128205128205128,3.3230769230769233,1.794871794871795,22.57948717948718
2007-06-05,161,44,10,6,2,0.2732919254658385,0.062111801242236024,0.037267080745341616,0.012422360248447204,3.3167701863354035,1.8074534161490683,19.236024844720497
2007-06-06,141,28,10,9,5,0.19858156028368795,0.07092198581560284,0.06382978723404255,0.03546099290780142,2.574468085106383,1.8085106382978724,14.702127659574469
